subj,item,condition,order,complexity,constituent,position,word,Q,RT
1,1,a,TSV,RC,comma,11,，,-,374
1,1,a,TSV,RC,DCL,12,这项,-,444
1,1,a,TSV,RC,DP,13,运动,-,1022
1,1,a,TSV,RC,RC-V1,14,敢于,-,492
1,1,a,TSV,RC,RC-V2,15,参加,-,757
1,1,a,TSV,RC,DE,16,的,-,594
1,1,a,TSV,RC,HN,17,人,-,429
1,1,a,TSV,RC,ADV,18,通常,-,479
1,1,a,TSV,RC,quantifier,19,都,-,499
1,1,a,TSV,RC,Main-V1,20,敢于,-,415
1,1,a,TSV,RC,Main-V2,21,冒险。,-,515
1,1,a,TSV,RC,,?,Y,1,1622
1,5,a,TSV,RC,comma,11,，,-,378
1,5,a,TSV,RC,DCL,12,这款,-,325
1,5,a,TSV,RC,DP,13,饮料,-,448
1,5,a,TSV,RC,RC-V1,14,习惯,-,419
1,5,a,TSV,RC,RC-V2,15,饮用,-,683
1,5,a,TSV,RC,DE,16,的,-,440
1,5,a,TSV,RC,HN,17,人,-,389
1,5,a,TSV,RC,ADV,18,通常,-,464
1,5,a,TSV,RC,quantifier,19,都,-,419
1,5,a,TSV,RC,Main-V1,20,习惯,-,505
1,5,a,TSV,RC,Main-V2,21,饮茶。,-,837
1,5,a,TSV,RC,,?,Y,1,2125
1,9,a,TSV,RC,comma,11,，,-,358
1,9,a,TSV,RC,DCL,12,这套,-,379
1,9,a,TSV,RC,DP,13,方案,-,428
1,9,a,TSV,RC,RC-V1,14,提倡,-,393
1,9,a,TSV,RC,RC-V2,15,采纳,-,897
1,9,a,TSV,RC,DE,16,的,-,434
1,9,a,TSV,RC,HN,17,人,-,438
1,9,a,TSV,RC,ADV,18,大多,-,1949
1,9,a,TSV,RC,quantifier,19,都,-,489
1,9,a,TSV,RC,Main-V1,20,提倡,-,544
1,9,a,TSV,RC,Main-V2,21,自治。,-,1645
1,9,a,TSV,RC,,?,Y,1,3022
1,13,a,TSV,RC,comma,11,，,-,361
1,13,a,TSV,RC,DCL,12,这次,-,383
1,13,a,TSV,RC,DP,13,投票,-,363
1,13,a,TSV,RC,RC-V1,14,支持,-,379
1,13,a,TSV,RC,RC-V2,15,举行,-,344
1,13,a,TSV,RC,DE,16,的,-,365
1,13,a,TSV,RC,HN,17,人,-,439
1,13,a,TSV,RC,ADV,18,大多,-,579
1,13,a,TSV,RC,quantifier,19,都,-,469
1,13,a,TSV,RC,Main-V1,20,支持,-,504
1,13,a,TSV,RC,Main-V2,21,民主。,-,609
1,13,a,TSV,RC,,?,N,1,3544
1,17,a,TSV,RC,comma,11,，,-,528
1,17,a,TSV,RC,DCL,12,这种,-,379
1,17,a,TSV,RC,DP,13,行业,-,374
1,17,a,TSV,RC,RC-V1,14,鼓励,-,479
1,17,a,TSV,RC,RC-V2,15,扶持,-,628
1,17,a,TSV,RC,DE,16,的,-,543
1,17,a,TSV,RC,HN,17,人,-,762
1,17,a,TSV,RC,ADV,18,大多,-,703
1,17,a,TSV,RC,quantifier,19,都,-,519
1,17,a,TSV,RC,Main-V1,20,鼓励,-,524
1,17,a,TSV,RC,Main-V2,21,创业。,-,1471
1,17,a,TSV,RC,,?,Y,1,1767
1,21,a,TSV,RC,comma,11,，,-,469
1,21,a,TSV,RC,DCL,12,这款,-,420
1,21,a,TSV,RC,DP,13,游戏,-,533
1,21,a,TSV,RC,RC-V1,14,热衷,-,533
1,21,a,TSV,RC,RC-V2,15,追逐,-,508
1,21,a,TSV,RC,DE,16,的,-,509
1,21,a,TSV,RC,HN,17,人,-,474
1,21,a,TSV,RC,ADV,18,通常,-,530
1,21,a,TSV,RC,quantifier,19,都,-,633
1,21,a,TSV,RC,Main-V1,20,热衷,-,589
1,21,a,TSV,RC,Main-V2,21,电玩。,-,1955
1,21,a,TSV,RC,,?,Y,1,1860
2,4,a,TSV,RC,comma,11,，,-,638
2,4,a,TSV,RC,DCL,12,这门,-,364
2,4,a,TSV,RC,DP,13,手艺,-,528
2,4,a,TSV,RC,RC-V1,14,厌倦,-,503
2,4,a,TSV,RC,RC-V2,15,学习,-,543
2,4,a,TSV,RC,DE,16,的,-,469
2,4,a,TSV,RC,HN,17,人,-,525
2,4,a,TSV,RC,ADV,18,大多,-,418
2,4,a,TSV,RC,quantifier,19,都,-,414
2,4,a,TSV,RC,Main-V1,20,厌倦,-,469
2,4,a,TSV,RC,Main-V2,21,传统。,-,2833
2,4,a,TSV,RC,,?,Y,1,6726
2,8,a,TSV,RC,comma,11,，,-,415
2,8,a,TSV,RC,DCL,12,这种,-,329
2,8,a,TSV,RC,DP,13,事物,-,323
2,8,a,TSV,RC,RC-V1,14,善于,-,459
2,8,a,TSV,RC,RC-V2,15,接纳,-,281
2,8,a,TSV,RC,DE,16,的,-,423
2,8,a,TSV,RC,HN,17,人,-,350
2,8,a,TSV,RC,ADV,18,大多,-,331
2,8,a,TSV,RC,quantifier,19,都,-,409
2,8,a,TSV,RC,Main-V1,20,善于,-,320
2,8,a,TSV,RC,Main-V2,21,学习。,-,699
2,8,a,TSV,RC,,?,N,1,2339
2,12,a,TSV,RC,comma,11,，,-,642
2,12,a,TSV,RC,DCL,12,这支,-,642
2,12,a,TSV,RC,DP,13,团队,-,522
2,12,a,TSV,RC,RC-V1,14,推崇,-,872
2,12,a,TSV,RC,RC-V2,15,组建,-,1015
2,12,a,TSV,RC,DE,16,的,-,674
2,12,a,TSV,RC,HN,17,人,-,904
2,12,a,TSV,RC,ADV,18,通常,-,898
2,12,a,TSV,RC,quantifier,19,都,-,1211
2,12,a,TSV,RC,Main-V1,20,推崇,-,703
2,12,a,TSV,RC,Main-V2,21,合作。,-,1820
2,12,a,TSV,RC,,?,Y,1,4650
2,16,a,TSV,RC,comma,11,，,-,1102
2,16,a,TSV,RC,DCL,12,这个,-,613
2,16,a,TSV,RC,DP,13,问题,-,556
2,16,a,TSV,RC,RC-V1,14,避免,-,563
2,16,a,TSV,RC,RC-V2,15,回答,-,510
2,16,a,TSV,RC,DE,16,的,-,570
2,16,a,TSV,RC,HN,17,人,-,637
2,16,a,TSV,RC,ADV,18,通常,-,649
2,16,a,TSV,RC,quantifier,19,都,-,509
2,16,a,TSV,RC,Main-V1,20,避免,-,494
2,16,a,TSV,RC,Main-V2,21,失言。,-,958
2,16,a,TSV,RC,,?,N,1,5064
2,20,a,TSV,RC,comma,11,，,-,593
2,20,a,TSV,RC,DCL,12,这种,-,543
2,20,a,TSV,RC,DP,13,能力,-,549
2,20,a,TSV,RC,RC-V1,14,注重,-,457
2,20,a,TSV,RC,RC-V2,15,培养,-,752
2,20,a,TSV,RC,DE,16,的,-,454
2,20,a,TSV,RC,HN,17,人,-,485
2,20,a,TSV,RC,ADV,18,通常,-,698
2,20,a,TSV,RC,quantifier,19,都,-,509
2,20,a,TSV,RC,Main-V1,20,注重,-,650
2,20,a,TSV,RC,Main-V2,21,实践。,-,842
2,20,a,TSV,RC,,?,N,1,3251
2,24,a,TSV,RC,comma,11,，,-,1002
2,24,a,TSV,RC,DCL,12,这款,-,384
2,24,a,TSV,RC,DP,13,产品,-,383
2,24,a,TSV,RC,RC-V1,14,负责,-,443
2,24,a,TSV,RC,RC-V2,15,销售,-,483
2,24,a,TSV,RC,DE,16,的,-,420
2,24,a,TSV,RC,HN,17,人,-,459
2,24,a,TSV,RC,ADV,18,同样,-,388
2,24,a,TSV,RC,quantifier,19,也,-,310
2,24,a,TSV,RC,Main-V1,20,负责,-,474
2,24,a,TSV,RC,Main-V2,21,售后。,-,1057
2,24,a,TSV,RC,,?,Y,1,3578
3,3,a,TSV,RC,comma,11,，,-,444
3,3,a,TSV,RC,DCL,12,这项,-,478
3,3,a,TSV,RC,DP,13,计划,-,319
3,3,a,TSV,RC,RC-V1,14,同意,-,350
3,3,a,TSV,RC,RC-V2,15,实施,-,412
3,3,a,TSV,RC,DE,16,的,-,329
3,3,a,TSV,RC,HN,17,人,-,295
3,3,a,TSV,RC,ADV,18,通常,-,683
3,3,a,TSV,RC,quantifier,19,都,-,290
3,3,a,TSV,RC,Main-V1,20,同意,-,400
3,3,a,TSV,RC,Main-V2,21,改革。,-,1764
3,3,a,TSV,RC,,?,N,1,3433
3,7,a,TSV,RC,comma,11,，,-,220
3,7,a,TSV,RC,DCL,12,这种,-,444
3,7,a,TSV,RC,DP,13,组织,-,323
3,7,a,TSV,RC,RC-V1,14,致力,-,334
3,7,a,TSV,RC,RC-V2,15,参加,-,410
3,7,a,TSV,RC,DE,16,的,-,229
3,7,a,TSV,RC,HN,17,人,-,280
3,7,a,TSV,RC,ADV,18,大多,-,463
3,7,a,TSV,RC,quantifier,19,都,-,410
3,7,a,TSV,RC,Main-V1,20,致力,-,324
3,7,a,TSV,RC,Main-V2,21,公益。,-,315
3,7,a,TSV,RC,,?,N,1,6502
3,11,a,TSV,RC,comma,11,，,-,205
3,11,a,TSV,RC,DCL,12,这种,-,279
3,11,a,TSV,RC,DP,13,技术,-,229
