subj,item,condition,constituent,position,word,Q,RT
1,1,a,comma,11,_,-,374
1,1,a,DCL,12,__,-,444
1,1,a,DP,13,__,-,1022
1,1,a,RC-V1,14,__,-,492
1,1,a,RC-V2,15,__,-,757
1,1,a,DE,16,_,-,594
1,1,a,HN,17,_,-,429
1,1,a,ADV,18,__,-,479
1,1,a,quantifier,19,_,-,499
1,1,a,Main-V1,20,__,-,415
1,1,a,Main-V2,21,___,-,515
1,1,a,,?,Y,1,1622
1,5,a,comma,11,_,-,378
1,5,a,DCL,12,__,-,325
1,5,a,DP,13,__,-,448
1,5,a,RC-V1,14,__,-,419
1,5,a,RC-V2,15,__,-,683
1,5,a,DE,16,_,-,440
1,5,a,HN,17,_,-,389
1,5,a,ADV,18,__,-,464
1,5,a,quantifier,19,_,-,419
1,5,a,Main-V1,20,__,-,505
1,5,a,Main-V2,21,___,-,837
1,5,a,,?,Y,1,2125
1,9,a,comma,11,_,-,358
1,9,a,DCL,12,__,-,379
1,9,a,DP,13,__,-,428
1,9,a,RC-V1,14,__,-,393
1,9,a,RC-V2,15,__,-,897
1,9,a,DE,16,_,-,434
1,9,a,HN,17,_,-,438
1,9,a,ADV,18,__,-,1949
1,9,a,quantifier,19,_,-,489
1,9,a,Main-V1,20,__,-,544
1,9,a,Main-V2,21,___,-,1645
1,9,a,,?,Y,1,3022
1,13,a,comma,11,_,-,361
1,13,a,DCL,12,__,-,383
1,13,a,DP,13,__,-,363
1,13,a,RC-V1,14,__,-,379
1,13,a,RC-V2,15,__,-,344
1,13,a,DE,16,_,-,365
1,13,a,HN,17,_,-,439
1,13,a,ADV,18,__,-,579
1,13,a,quantifier,19,_,-,469
1,13,a,Main-V1,20,__,-,504
1,13,a,Main-V2,21,___,-,609
1,13,a,,?,N,1,3544
1,17,a,comma,11,_,-,528
1,17,a,DCL,12,__,-,379
1,17,a,DP,13,__,-,374
1,17,a,RC-V1,14,__,-,479
1,17,a,RC-V2,15,__,-,628
1,17,a,DE,16,_,-,543
1,17,a,HN,17,_,-,762
1,17,a,ADV,18,__,-,703
1,17,a,quantifier,19,_,-,519
1,17,a,Main-V1,20,__,-,524
1,17,a,Main-V2,21,___,-,1471
1,17,a,,?,Y,1,1767
1,21,a,comma,11,_,-,469
1,21,a,DCL,12,__,-,420
1,21,a,DP,13,__,-,533
1,21,a,RC-V1,14,__,-,533
1,21,a,RC-V2,15,__,-,508
1,21,a,DE,16,_,-,509
1,21,a,HN,17,_,-,474
1,21,a,ADV,18,__,-,530
1,21,a,quantifier,19,_,-,633
1,21,a,Main-V1,20,__,-,589
1,21,a,Main-V2,21,___,-,1955
1,21,a,,?,Y,1,1860
2,4,a,comma,11,_,-,638
2,4,a,DCL,12,__,-,364
2,4,a,DP,13,__,-,528
2,4,a,RC-V1,14,__,-,503
2,4,a,RC-V2,15,__,-,543
2,4,a,DE,16,_,-,469
2,4,a,HN,17,_,-,525
2,4,a,ADV,18,__,-,418
2,4,a,quantifier,19,_,-,414
2,4,a,Main-V1,20,__,-,469
2,4,a,Main-V2,21,___,-,2833
2,4,a,,?,Y,1,6726
2,8,a,comma,11,_,-,415
2,8,a,DCL,12,__,-,329
2,8,a,DP,13,__,-,323
2,8,a,RC-V1,14,__,-,459
2,8,a,RC-V2,15,__,-,281
2,8,a,DE,16,_,-,423
2,8,a,HN,17,_,-,350
2,8,a,ADV,18,__,-,331
2,8,a,quantifier,19,_,-,409
2,8,a,Main-V1,20,__,-,320
2,8,a,Main-V2,21,___,-,699
2,8,a,,?,N,1,2339
2,12,a,comma,11,_,-,642
2,12,a,DCL,12,__,-,642
2,12,a,DP,13,__,-,522
2,12,a,RC-V1,14,__,-,872
2,12,a,RC-V2,15,__,-,1015
2,12,a,DE,16,_,-,674
2,12,a,HN,17,_,-,904
2,12,a,ADV,18,__,-,898
2,12,a,quantifier,19,_,-,1211
2,12,a,Main-V1,20,__,-,703
2,12,a,Main-V2,21,___,-,1820
2,12,a,,?,Y,1,4650
2,16,a,comma,11,_,-,1102
2,16,a,DCL,12,__,-,613
2,16,a,DP,13,__,-,556
2,16,a,RC-V1,14,__,-,563
2,16,a,RC-V2,15,__,-,510
2,16,a,DE,16,_,-,570
2,16,a,HN,17,_,-,637
2,16,a,ADV,18,__,-,649
2,16,a,quantifier,19,_,-,509
2,16,a,Main-V1,20,__,-,494
2,16,a,Main-V2,21,___,-,958
2,16,a,,?,N,1,5064
2,20,a,comma,11,_,-,593
2,20,a,DCL,12,__,-,543
2,20,a,DP,13,__,-,549
2,20,a,RC-V1,14,__,-,457
2,20,a,RC-V2,15,__,-,752
2,20,a,DE,16,_,-,454
2,20,a,HN,17,_,-,485
2,20,a,ADV,18,__,-,698
2,20,a,quantifier,19,_,-,509
2,20,a,Main-V1,20,__,-,650
2,20,a,Main-V2,21,___,-,842
2,20,a,,?,N,1,3251
2,24,a,comma,11,_,-,1002
2,24,a,DCL,12,__,-,384
2,24,a,DP,13,__,-,383
2,24,a,RC-V1,14,__,-,443
2,24,a,RC-V2,15,__,-,483
2,24,a,DE,16,_,-,420
2,24,a,HN,17,_,-,459
2,24,a,ADV,18,__,-,388
2,24,a,quantifier,19,_,-,310
2,24,a,Main-V1,20,__,-,474
2,24,a,Main-V2,21,___,-,1057
2,24,a,,?,Y,1,3578
3,3,a,comma,11,_,-,444
3,3,a,DCL,12,__,-,478
3,3,a,DP,13,__,-,319
3,3,a,RC-V1,14,__,-,350
3,3,a,RC-V2,15,__,-,412
3,3,a,DE,16,_,-,329
3,3,a,HN,17,_,-,295
3,3,a,ADV,18,__,-,683
3,3,a,quantifier,19,_,-,290
3,3,a,Main-V1,20,__,-,400
3,3,a,Main-V2,21,___,-,1764
3,3,a,,?,N,1,3433
3,7,a,comma,11,_,-,220
3,7,a,DCL,12,__,-,444
3,7,a,DP,13,__,-,323
3,7,a,RC-V1,14,__,-,334
3,7,a,RC-V2,15,__,-,410
3,7,a,DE,16,_,-,229
3,7,a,HN,17,_,-,280
3,7,a,ADV,18,__,-,463
3,7,a,quantifier,19,_,-,410
3,7,a,Main-V1,20,__,-,324
3,7,a,Main-V2,21,___,-,315
3,7,a,,?,N,1,6502
3,11,a,comma,11,_,-,205
3,11,a,DCL,12,__,-,279
3,11,a,DP,13,__,-,229
3,11,a,RC-V1,14,__,-,189
3,11,a,RC-V2,15,__,-,210
3,11,a,DE,16,_,-,205
3,11,a,HN,17,_,-,220
3,11,a,ADV,18,__,-,221
3,11,a,quantifier,19,_,-,364
3,11,a,Main-V1,20,__,-,211
3,11,a,Main-V2,21,___,-,708
3,11,a,,?,N,1,1736
3,15,a,comma,11,_,-,189
3,15,a,DCL,12,__,-,384
3,15,a,DP,13,__,-,174
3,15,a,RC-V1,14,__,-,169
3,15,a,RC-V2,15,__,-,184
3,15,a,DE,16,_,-,195
3,15,a,HN,17,_,-,209
3,15,a,ADV,18,__,-,201
3,15,a,quantifier,19,_,-,274
3,15,a,Main-V1,20,__,-,306
3,15,a,Main-V2,21,___,-,434
3,15,a,,?,N,1,3065
3,19,a,comma,11,_,-,225
3,19,a,DCL,12,__,-,187
3,19,a,DP,13,__,-,186
3,19,a,RC-V1,14,__,-,389
3,19,a,RC-V2,15,__,-,209
3,19,a,DE,16,_,-,186
3,19,a,HN,17,_,-,191
3,19,a,ADV,18,__,-,188
3,19,a,quantifier,19,_,-,205
3,19,a,Main-V1,20,__,-,216
3,19,a,Main-V2,21,___,-,385
3,19,a,,?,N,1,1925
3,23,a,comma,11,_,-,410
3,23,a,DCL,12,__,-,224
3,23,a,DP,13,__,-,195
3,23,a,RC-V1,14,__,-,209
3,23,a,RC-V2,15,__,-,215
3,23,a,DE,16,_,-,210
3,23,a,HN,17,_,-,191
3,23,a,ADV,18,__,-,199
3,23,a,quantifier,19,_,-,220
3,23,a,Main-V1,20,__,-,306
3,23,a,Main-V2,21,___,-,455
3,23,a,,?,N,1,1740
4,2,a,comma,11,_,-,618
4,2,a,DCL,12,__,-,284
4,2,a,DP,13,__,-,558
4,2,a,RC-V1,14,__,-,1160
4,2,a,RC-V2,15,__,-,274
4,2,a,DE,16,_,-,987
4,2,a,HN,17,_,-,320
4,2,a,ADV,18,__,-,215
4,2,a,quantifier,19,_,-,380
4,2,a,Main-V1,20,__,-,290
4,2,a,Main-V2,21,___,-,534
4,2,a,,?,Y,1,2647
4,6,a,comma,11,_,-,368
4,6,a,DCL,12,__,-,274
4,6,a,DP,13,__,-,290
4,6,a,RC-V1,14,__,-,233
4,6,a,RC-V2,15,__,-,613
4,6,a,DE,16,_,-,704
4,6,a,HN,17,_,-,374
4,6,a,ADV,18,__,-,838
4,6,a,quantifier,19,_,-,275
4,6,a,Main-V1,20,__,-,315
4,6,a,Main-V2,21,___,-,614
4,6,a,,?,Y,1,2418
4,10,a,comma,11,_,-,393
4,10,a,DCL,12,__,-,329
4,10,a,DP,13,__,-,308
4,10,a,RC-V1,14,__,-,492
4,10,a,RC-V2,15,__,-,399
4,10,a,DE,16,_,-,1102
4,10,a,HN,17,_,-,339
4,10,a,ADV,18,__,-,419
4,10,a,quantifier,19,_,-,1236
4,10,a,Main-V1,20,__,-,599
4,10,a,Main-V2,21,___,-,1167
4,10,a,,?,N,1,1592
4,14,a,comma,11,_,-,443
4,14,a,DCL,12,__,-,479
4,14,a,DP,13,__,-,449
4,14,a,RC-V1,14,__,-,951
4,14,a,RC-V2,15,__,-,1654
4,14,a,DE,16,_,-,339
4,14,a,HN,17,_,-,1017
4,14,a,ADV,18,__,-,2023
4,14,a,quantifier,19,_,-,285
4,14,a,Main-V1,20,__,-,295
4,14,a,Main-V2,21,___,-,564
4,14,a,,?,Y,1,1811
4,18,a,comma,11,_,-,334
4,18,a,DCL,12,__,-,379
4,18,a,DP,13,__,-,448
4,18,a,RC-V1,14,__,-,364
4,18,a,RC-V2,15,__,-,1006
4,18,a,DE,16,_,-,365
4,18,a,HN,17,_,-,479
4,18,a,ADV,18,__,-,554
4,18,a,quantifier,19,_,-,424
4,18,a,Main-V1,20,__,-,316
4,18,a,Main-V2,21,___,-,484
4,18,a,,?,Y,1,1815
4,22,a,comma,11,_,-,410
4,22,a,DCL,12,__,-,428
4,22,a,DP,13,__,-,319
4,22,a,RC-V1,14,__,-,244
4,22,a,RC-V2,15,__,-,315
4,22,a,DE,16,_,-,304
4,22,a,HN,17,_,-,1102
4,22,a,ADV,18,__,-,360
4,22,a,quantifier,19,_,-,259
4,22,a,Main-V1,20,__,-,360
4,22,a,Main-V2,21,___,-,524
4,22,a,,?,N,1,2856
5,1,a,comma,11,_,-,414
5,1,a,DCL,12,__,-,389
5,1,a,DP,13,__,-,324
5,1,a,RC-V1,14,__,-,364
5,1,a,RC-V2,15,__,-,330
5,1,a,DE,16,_,-,319
5,1,a,HN,17,_,-,340
5,1,a,ADV,18,__,-,419
5,1,a,quantifier,19,_,-,336
5,1,a,Main-V1,20,__,-,429
5,1,a,Main-V2,21,___,-,888
5,1,a,,?,Y,1,2573
5,5,a,comma,11,_,-,195
5,5,a,DCL,12,__,-,230
5,5,a,DP,13,__,-,214
5,5,a,RC-V1,14,__,-,189
5,5,a,RC-V2,15,__,-,200
5,5,a,DE,16,_,-,245
5,5,a,HN,17,_,-,235
5,5,a,ADV,18,__,-,200
5,5,a,quantifier,19,_,-,240
5,5,a,Main-V1,20,__,-,286
5,5,a,Main-V2,21,___,-,405
5,5,a,,?,Y,1,1312
5,9,a,comma,11,_,-,240
5,9,a,DCL,12,__,-,230
5,9,a,DP,13,__,-,220
5,9,a,RC-V1,14,__,-,214
5,9,a,RC-V2,15,__,-,235
5,9,a,DE,16,_,-,251
5,9,a,HN,17,_,-,220
5,9,a,ADV,18,__,-,230
5,9,a,quantifier,19,_,-,255
5,9,a,Main-V1,20,__,-,335
5,9,a,Main-V2,21,___,-,260
5,9,a,,?,Y,1,2254
5,13,a,comma,11,_,-,239
5,13,a,DCL,12,__,-,235
5,13,a,DP,13,__,-,229
5,13,a,RC-V1,14,__,-,209
5,13,a,RC-V2,15,__,-,180
5,13,a,DE,16,_,-,205
5,13,a,HN,17,_,-,141
5,13,a,ADV,18,__,-,280
5,13,a,quantifier,19,_,-,244
5,13,a,Main-V1,20,__,-,191
5,13,a,Main-V2,21,___,-,444
5,13,a,,?,N,1,9136
5,17,a,comma,11,_,-,199
5,17,a,DCL,12,__,-,211
5,17,a,DP,13,__,-,204
5,17,a,RC-V1,14,__,-,180
5,17,a,RC-V2,15,__,-,185
5,17,a,DE,16,_,-,186
5,17,a,HN,17,_,-,190
5,17,a,ADV,18,__,-,210
5,17,a,quantifier,19,_,-,365
5,17,a,Main-V1,20,__,-,236
5,17,a,Main-V2,21,___,-,509
5,17,a,,?,Y,1,1552
5,21,a,comma,11,_,-,210
5,21,a,DCL,12,__,-,239
5,21,a,DP,13,__,-,224
5,21,a,RC-V1,14,__,-,225
5,21,a,RC-V2,15,__,-,244
5,21,a,DE,16,_,-,241
5,21,a,HN,17,_,-,215
5,21,a,ADV,18,__,-,241
5,21,a,quantifier,19,_,-,289
5,21,a,Main-V1,20,__,-,246
5,21,a,Main-V2,21,___,-,564
5,21,a,,?,Y,1,1732
6,4,a,comma,11,_,-,234
6,4,a,DCL,12,__,-,266
6,4,a,DP,13,__,-,269
6,4,a,RC-V1,14,__,-,334
6,4,a,RC-V2,15,__,-,353
6,4,a,DE,16,_,-,429
6,4,a,HN,17,_,-,245
6,4,a,ADV,18,__,-,240
6,4,a,quantifier,19,_,-,235
6,4,a,Main-V1,20,__,-,235
6,4,a,Main-V2,21,___,-,579
6,4,a,,?,Y,1,4435
6,8,a,comma,11,_,-,1409
6,8,a,DCL,12,__,-,583
6,8,a,DP,13,__,-,369
6,8,a,RC-V1,14,__,-,424
6,8,a,RC-V2,15,__,-,499
6,8,a,DE,16,_,-,484
6,8,a,HN,17,_,-,445
6,8,a,ADV,18,__,-,414
6,8,a,quantifier,19,_,-,459
6,8,a,Main-V1,20,__,-,594
6,8,a,Main-V2,21,___,-,2003
6,8,a,,?,N,1,1786
6,12,a,comma,11,_,-,1758
6,12,a,DCL,12,__,-,543
6,12,a,DP,13,__,-,458
6,12,a,RC-V1,14,__,-,529
6,12,a,RC-V2,15,__,-,498
6,12,a,DE,16,_,-,758
6,12,a,HN,17,_,-,719
6,12,a,ADV,18,__,-,713
6,12,a,quantifier,19,_,-,485
6,12,a,Main-V1,20,__,-,563
6,12,a,Main-V2,21,___,-,724
6,12,a,,?,N,0,2248
6,16,a,comma,11,_,-,578
6,16,a,DCL,12,__,-,628
6,16,a,DP,13,__,-,643
6,16,a,RC-V1,14,__,-,1221
6,16,a,RC-V2,15,__,-,518
6,16,a,DE,16,_,-,550
6,16,a,HN,17,_,-,463
6,16,a,ADV,18,__,-,539
6,16,a,quantifier,19,_,-,459
6,16,a,Main-V1,20,__,-,415
6,16,a,Main-V2,21,___,-,510
6,16,a,,?,N,1,9752
6,20,a,comma,11,_,-,354
6,20,a,DCL,12,__,-,364
6,20,a,DP,13,__,-,379
6,20,a,RC-V1,14,__,-,602
6,20,a,RC-V2,15,__,-,339
6,20,a,DE,16,_,-,325
6,20,a,HN,17,_,-,489
6,20,a,ADV,18,__,-,400
6,20,a,quantifier,19,_,-,310
6,20,a,Main-V1,20,__,-,265
6,20,a,Main-V2,21,___,-,451
6,20,a,,?,N,1,1421
6,24,a,comma,11,_,-,418
6,24,a,DCL,12,__,-,653
6,24,a,DP,13,__,-,716
6,24,a,RC-V1,14,__,-,667
6,24,a,RC-V2,15,__,-,558
6,24,a,DE,16,_,-,574
6,24,a,HN,17,_,-,454
6,24,a,ADV,18,__,-,583
6,24,a,quantifier,19,_,-,559
6,24,a,Main-V1,20,__,-,649
6,24,a,Main-V2,21,___,-,1238
6,24,a,,?,Y,1,3304
7,3,a,comma,11,_,-,374
7,3,a,DCL,12,__,-,409
7,3,a,DP,13,__,-,413
7,3,a,RC-V1,14,__,-,429
7,3,a,RC-V2,15,__,-,388
7,3,a,DE,16,_,-,394
7,3,a,HN,17,_,-,380
7,3,a,ADV,18,__,-,370
7,3,a,quantifier,19,_,-,320
7,3,a,Main-V1,20,__,-,295
7,3,a,Main-V2,21,___,-,1048
7,3,a,,?,N,1,1770
7,7,a,comma,11,_,-,404
7,7,a,DCL,12,__,-,300
7,7,a,DP,13,__,-,315
7,7,a,RC-V1,14,__,-,338
7,7,a,RC-V2,15,__,-,394
7,7,a,DE,16,_,-,325
7,7,a,HN,17,_,-,275
7,7,a,ADV,18,__,-,270
7,7,a,quantifier,19,_,-,315
7,7,a,Main-V1,20,__,-,350
7,7,a,Main-V2,21,___,-,390
7,7,a,,?,N,1,1328
7,11,a,comma,11,_,-,354
7,11,a,DCL,12,__,-,290
7,11,a,DP,13,__,-,294
7,11,a,RC-V1,14,__,-,288
7,11,a,RC-V2,15,__,-,399
7,11,a,DE,16,_,-,265
7,11,a,HN,17,_,-,255
7,11,a,ADV,18,__,-,305
7,11,a,quantifier,19,_,-,260
7,11,a,Main-V1,20,__,-,270
7,11,a,Main-V2,21,___,-,410
7,11,a,,?,N,1,1845
7,15,a,comma,11,_,-,261
7,15,a,DCL,12,__,-,288
7,15,a,DP,13,__,-,384
7,15,a,RC-V1,14,__,-,344
7,15,a,RC-V2,15,__,-,359
7,15,a,DE,16,_,-,370
7,15,a,HN,17,_,-,336
7,15,a,ADV,18,__,-,334
7,15,a,quantifier,19,_,-,285
7,15,a,Main-V1,20,__,-,345
7,15,a,Main-V2,21,___,-,455
7,15,a,,?,Y,0,1542
7,19,a,comma,11,_,-,354
7,19,a,DCL,12,__,-,270
7,19,a,DP,13,__,-,333
7,19,a,RC-V1,14,__,-,359
7,19,a,RC-V2,15,__,-,315
7,19,a,DE,16,_,-,394
7,19,a,HN,17,_,-,296
7,19,a,ADV,18,__,-,369
7,19,a,quantifier,19,_,-,260
7,19,a,Main-V1,20,__,-,381
7,19,a,Main-V2,21,___,-,1690
7,19,a,,?,N,1,1068
7,23,a,comma,11,_,-,400
7,23,a,DCL,12,__,-,328
7,23,a,DP,13,__,-,324
7,23,a,RC-V1,14,__,-,338
7,23,a,RC-V2,15,__,-,306
7,23,a,DE,16,_,-,508
7,23,a,HN,17,_,-,329
7,23,a,ADV,18,__,-,271
7,23,a,quantifier,19,_,-,289
7,23,a,Main-V1,20,__,-,290
7,23,a,Main-V2,21,___,-,629
7,23,a,,?,N,1,1860
8,2,a,comma,11,_,-,284
8,2,a,DCL,12,__,-,349
8,2,a,DP,13,__,-,433
8,2,a,RC-V1,14,__,-,369
8,2,a,RC-V2,15,__,-,349
8,2,a,DE,16,_,-,305
8,2,a,HN,17,_,-,300
