subj,item,condition,order,region,position,RT
1,11,a,TSV,0,d1,361
1,11,a,TSV,1,np,329
1,11,a,TSV,2,adv1,215
1,11,a,TSV,3,d2,324
1,11,a,TSV,4,na,579
1,11,a,TSV,5,adv2,433
1,11,a,TSV,6,v,388
1,11,a,TSV,7,-,361
1,11,a,TSV,8,-,690
1,11,a,TSV,?,1,2009
1,10,b,SVO,0,adv1,445
1,10,b,SVO,1,d2,319
1,10,b,SVO,2,na,244
1,10,b,SVO,3,adv2,526
1,10,b,SVO,4,v,320
1,10,b,SVO,5,d1,371
1,10,b,SVO,6,np,355
1,10,b,SVO,7,-,244
1,10,b,SVO,8,-,576
1,10,b,SVO,?,1,2546
1,12,b,SVO,0,adv1,297
1,12,b,SVO,1,d2,306
1,12,b,SVO,2,na,1204
1,12,b,SVO,3,adv2,817
1,12,b,SVO,4,v,361
1,12,b,SVO,5,d1,295
1,12,b,SVO,6,np,511
1,12,b,SVO,7,-,440
1,12,b,SVO,8,-,633
1,12,b,SVO,?,1,1136
1,9,a,TSV,0,d1,437
1,9,a,TSV,1,np,544
1,9,a,TSV,2,adv1,716
1,9,a,TSV,3,d2,371
1,9,a,TSV,4,na,564
1,9,a,TSV,5,adv2,377
1,9,a,TSV,6,v,287
1,9,a,TSV,7,-,243
1,9,a,TSV,8,-,468
1,9,a,TSV,?,1,2069
1,15,a,TSV,0,d1,443
1,15,a,TSV,1,np,443
1,15,a,TSV,2,adv1,401
1,15,a,TSV,3,d2,458
1,15,a,TSV,4,na,655
1,15,a,TSV,5,adv2,368
1,15,a,TSV,6,v,350
1,15,a,TSV,7,-,379
1,15,a,TSV,8,-,408
1,15,a,TSV,9,-,449
1,15,a,TSV,?,1,1613
1,5,a,TSV,0,d1,624
1,5,a,TSV,1,np,923
1,5,a,TSV,2,adv1,483
1,5,a,TSV,3,d2,449
1,5,a,TSV,4,na,804
1,5,a,TSV,5,adv2,437
1,5,a,TSV,6,v,452
1,5,a,TSV,7,-,387
1,5,a,TSV,8,-,317
1,5,a,TSV,9,-,390
1,5,a,TSV,?,1,1340
1,7,a,TSV,0,d1,301
1,7,a,TSV,1,np,473
1,7,a,TSV,2,adv1,583
1,7,a,TSV,3,d2,1042
1,7,a,TSV,4,na,273
1,7,a,TSV,5,adv2,375
1,7,a,TSV,6,v,273
1,7,a,TSV,7,-,293
1,7,a,TSV,?,1,1112
1,6,b,SVO,0,adv1,342
1,6,b,SVO,1,d2,285
1,6,b,SVO,2,na,356
1,6,b,SVO,3,adv2,304
1,6,b,SVO,4,v,253
1,6,b,SVO,5,d1,445
1,6,b,SVO,6,np,670
1,6,b,SVO,7,-,388
1,6,b,SVO,8,-,437
1,6,b,SVO,?,0,4071
1,3,a,TSV,0,d1,355
1,3,a,TSV,1,np,317
1,3,a,TSV,2,adv1,373
1,3,a,TSV,3,d2,243
1,3,a,TSV,4,na,673
1,3,a,TSV,5,adv2,335
1,3,a,TSV,6,v,423
1,3,a,TSV,7,-,293
1,3,a,TSV,8,-,1045
1,3,a,TSV,9,-,612
1,3,a,TSV,?,1,1938
1,8,b,SVO,0,adv1,231
1,8,b,SVO,1,d2,268
1,8,b,SVO,2,na,308
1,8,b,SVO,3,adv2,388
1,8,b,SVO,4,v,249
1,8,b,SVO,5,d1,650
1,8,b,SVO,6,np,287
1,8,b,SVO,7,-,442
1,8,b,SVO,8,-,242
1,8,b,SVO,9,-,462
1,8,b,SVO,?,1,1732
1,13,a,TSV,0,d1,264
1,13,a,TSV,1,np,225
1,13,a,TSV,2,adv1,737
1,13,a,TSV,3,d2,332
1,13,a,TSV,4,na,251
1,13,a,TSV,5,adv2,300
1,13,a,TSV,6,v,251
1,13,a,TSV,7,-,253
1,13,a,TSV,8,-,308
1,13,a,TSV,?,1,1815
1,4,b,SVO,0,adv1,265
1,4,b,SVO,1,d2,597
1,4,b,SVO,2,na,264
1,4,b,SVO,3,adv2,346
1,4,b,SVO,4,v,299
1,4,b,SVO,5,d1,424
1,4,b,SVO,6,np,262
1,4,b,SVO,7,-,279
1,4,b,SVO,8,-,1309
1,4,b,SVO,?,1,1640
1,16,b,SVO,0,adv1,439
1,16,b,SVO,1,d2,319
1,16,b,SVO,2,na,335
1,16,b,SVO,3,adv2,310
1,16,b,SVO,4,v,336
1,16,b,SVO,5,d1,278
1,16,b,SVO,6,np,219
1,16,b,SVO,7,-,352
1,16,b,SVO,8,-,327
1,16,b,SVO,?,1,982
1,14,b,SVO,0,adv1,363
1,14,b,SVO,1,d2,1513
1,14,b,SVO,2,na,478
1,14,b,SVO,3,adv2,449
1,14,b,SVO,4,v,368
1,14,b,SVO,5,d1,284
1,14,b,SVO,6,np,289
1,14,b,SVO,7,-,268
1,14,b,SVO,8,-,335
1,14,b,SVO,9,-,518
1,14,b,SVO,?,1,956
1,2,b,SVO,0,adv1,417
1,2,b,SVO,1,d2,530
1,2,b,SVO,2,na,392
1,2,b,SVO,3,adv2,357
1,2,b,SVO,4,v,612
1,2,b,SVO,5,d1,231
1,2,b,SVO,6,np,255
1,2,b,SVO,7,-,267
1,2,b,SVO,8,-,258
1,2,b,SVO,?,1,1566
1,1,a,TSV,0,d1,395
1,1,a,TSV,1,np,546
1,1,a,TSV,2,adv1,300
1,1,a,TSV,3,d2,344
1,1,a,TSV,4,na,346
1,1,a,TSV,5,adv2,325
1,1,a,TSV,6,v,299
1,1,a,TSV,7,-,367
1,1,a,TSV,8,-,608
1,1,a,TSV,?,1,2424
2,1,a,TSV,0,d1,400
2,1,a,TSV,1,np,474
2,1,a,TSV,2,adv1,444
2,1,a,TSV,3,d2,462
2,1,a,TSV,4,na,714
2,1,a,TSV,5,adv2,442
2,1,a,TSV,6,v,383
2,1,a,TSV,7,-,2636
2,1,a,TSV,8,-,826
2,1,a,TSV,?,1,1689
2,8,b,SVO,0,adv1,370
2,8,b,SVO,1,d2,379
2,8,b,SVO,2,na,491
2,8,b,SVO,3,adv2,362
2,8,b,SVO,4,v,657
2,8,b,SVO,5,d1,367
2,8,b,SVO,6,np,411
2,8,b,SVO,7,-,968
2,8,b,SVO,8,-,408
2,8,b,SVO,9,-,641
2,8,b,SVO,?,1,2398
2,16,b,SVO,0,adv1,470
2,16,b,SVO,1,d2,514
2,16,b,SVO,2,na,467
2,16,b,SVO,3,adv2,467
2,16,b,SVO,4,v,417
2,16,b,SVO,5,d1,383
2,16,b,SVO,6,np,419
2,16,b,SVO,7,-,670
2,16,b,SVO,8,-,573
2,16,b,SVO,?,1,1300
2,5,a,TSV,0,d1,371
2,5,a,TSV,1,np,320
2,5,a,TSV,2,adv1,400
2,5,a,TSV,3,d2,374
2,5,a,TSV,4,na,346
2,5,a,TSV,5,adv2,334
2,5,a,TSV,6,v,356
2,5,a,TSV,7,-,381
2,5,a,TSV,8,-,353
2,5,a,TSV,9,-,746
2,5,a,TSV,?,1,1041
2,12,b,SVO,0,adv1,431
2,12,b,SVO,1,d2,634
2,12,b,SVO,2,na,527
2,12,b,SVO,3,adv2,424
2,12,b,SVO,4,v,493
2,12,b,SVO,5,d1,423
2,12,b,SVO,6,np,813
2,12,b,SVO,7,-,891
2,12,b,SVO,8,-,955
2,12,b,SVO,?,1,906
2,7,a,TSV,0,d1,400
2,7,a,TSV,1,np,371
2,7,a,TSV,2,adv1,353
2,7,a,TSV,3,d2,386
2,7,a,TSV,4,na,440
2,7,a,TSV,5,adv2,442
2,7,a,TSV,6,v,619
2,7,a,TSV,7,-,794
2,7,a,TSV,?,1,898
2,15,a,TSV,0,d1,474
2,15,a,TSV,1,np,394
2,15,a,TSV,2,adv1,393
2,15,a,TSV,3,d2,393
2,15,a,TSV,4,na,995
2,15,a,TSV,5,adv2,362
2,15,a,TSV,6,v,381
2,15,a,TSV,7,-,345
2,15,a,TSV,8,-,345
2,15,a,TSV,9,-,464
2,15,a,TSV,?,1,1072
2,9,a,TSV,0,d1,400
2,9,a,TSV,1,np,463
2,9,a,TSV,2,adv1,651
2,9,a,TSV,3,d2,522
2,9,a,TSV,4,na,466
2,9,a,TSV,5,adv2,451
2,9,a,TSV,6,v,538
2,9,a,TSV,7,-,669
2,9,a,TSV,8,-,5888
2,9,a,TSV,?,1,1146
2,11,a,TSV,0,d1,377
2,11,a,TSV,1,np,389
2,11,a,TSV,2,adv1,400
2,11,a,TSV,3,d2,387
2,11,a,TSV,4,na,453
2,11,a,TSV,5,adv2,385
2,11,a,TSV,6,v,375
2,11,a,TSV,7,-,320
2,11,a,TSV,8,-,478
2,11,a,TSV,?,1,1110
2,4,b,SVO,0,adv1,426
2,4,b,SVO,1,d2,335
2,4,b,SVO,2,na,387
2,4,b,SVO,3,adv2,406
2,4,b,SVO,4,v,415
2,4,b,SVO,5,d1,386
