subj,item,condition,order,complexity,constituent,position,Q,RT
1,1,a,TSV,RC,DCL,0,-,367
1,5,a,TSV,RC,DCL,0,-,1029
1,9,a,TSV,RC,DCL,0,-,351
1,13,a,TSV,RC,DCL,0,-,341
1,17,a,TSV,RC,DCL,0,-,370
1,21,a,TSV,RC,DCL,0,-,431
2,4,a,TSV,RC,DCL,0,-,451
2,8,a,TSV,RC,DCL,0,-,366
2,12,a,TSV,RC,DCL,0,-,486
2,16,a,TSV,RC,DCL,0,-,461
2,20,a,TSV,RC,DCL,0,-,387
2,24,a,TSV,RC,DCL,0,-,550
3,3,a,TSV,RC,DCL,0,-,316
3,7,a,TSV,RC,DCL,0,-,635
3,11,a,TSV,RC,DCL,0,-,256
3,15,a,TSV,RC,DCL,0,-,451
3,19,a,TSV,RC,DCL,0,-,356
3,23,a,TSV,RC,DCL,0,-,331
4,2,a,TSV,RC,DCL,0,-,297
4,6,a,TSV,RC,DCL,0,-,311
4,10,a,TSV,RC,DCL,0,-,211
4,14,a,TSV,RC,DCL,0,-,411
4,18,a,TSV,RC,DCL,0,-,262
4,22,a,TSV,RC,DCL,0,-,1965
5,1,a,TSV,RC,DCL,0,-,356
5,5,a,TSV,RC,DCL,0,-,366
5,9,a,TSV,RC,DCL,0,-,555
5,13,a,TSV,RC,DCL,0,-,386
5,17,a,TSV,RC,DCL,0,-,356
5,21,a,TSV,RC,DCL,0,-,475
6,4,a,TSV,RC,DCL,0,-,331
6,8,a,TSV,RC,DCL,0,-,252
6,12,a,TSV,RC,DCL,0,-,221
6,16,a,TSV,RC,DCL,0,-,252
6,20,a,TSV,RC,DCL,0,-,301
6,24,a,TSV,RC,DCL,0,-,282
7,3,a,TSV,RC,DCL,0,-,346
7,7,a,TSV,RC,DCL,0,-,635
7,11,a,TSV,RC,DCL,0,-,391
7,15,a,TSV,RC,DCL,0,-,410
7,19,a,TSV,RC,DCL,0,-,317
7,23,a,TSV,RC,DCL,0,-,436
8,2,a,TSV,RC,DCL,0,-,251
8,6,a,TSV,RC,DCL,0,-,351
8,10,a,TSV,RC,DCL,0,-,231
8,14,a,TSV,RC,DCL,0,-,311
8,18,a,TSV,RC,DCL,0,-,352
8,22,a,TSV,RC,DCL,0,-,312
9,1,a,TSV,RC,DCL,0,-,401
9,5,a,TSV,RC,DCL,0,-,396
9,9,a,TSV,RC,DCL,0,-,356
9,13,a,TSV,RC,DCL,0,-,660
9,17,a,TSV,RC,DCL,0,-,555
9,21,a,TSV,RC,DCL,0,-,251
10,4,a,TSV,RC,DCL,0,-,401
10,8,a,TSV,RC,DCL,0,-,919
10,12,a,TSV,RC,DCL,0,-,371
10,16,a,TSV,RC,DCL,0,-,599
