subj,item,condition,order,complexity,constituent,position,Q,RT
1,1,a,TSV,RC,comma,11,-,374
1,1,a,TSV,RC,DCL,12,-,444
1,1,a,TSV,RC,DP,13,-,1022
1,1,a,TSV,RC,RC-V1,14,-,492
1,1,a,TSV,RC,RC-V2,15,-,757
1,1,a,TSV,RC,DE,16,-,594
1,1,a,TSV,RC,HN,17,-,429
1,1,a,TSV,RC,ADV,18,-,479
1,1,a,TSV,RC,quantifier,19,-,499
1,1,a,TSV,RC,Main-V1,20,-,415
1,1,a,TSV,RC,Main-V2,21,-,515
1,1,a,TSV,RC,,?,1,1622
1,5,a,TSV,RC,comma,11,-,378
1,5,a,TSV,RC,DCL,12,-,325
1,5,a,TSV,RC,DP,13,-,448
1,5,a,TSV,RC,RC-V1,14,-,419
1,5,a,TSV,RC,RC-V2,15,-,683
1,5,a,TSV,RC,DE,16,-,440
1,5,a,TSV,RC,HN,17,-,389
1,5,a,TSV,RC,ADV,18,-,464
1,5,a,TSV,RC,quantifier,19,-,419
1,5,a,TSV,RC,Main-V1,20,-,505
1,5,a,TSV,RC,Main-V2,21,-,837
1,5,a,TSV,RC,,?,1,2125
1,9,a,TSV,RC,comma,11,-,358
1,9,a,TSV,RC,DCL,12,-,379
1,9,a,TSV,RC,DP,13,-,428
1,9,a,TSV,RC,RC-V1,14,-,393
1,9,a,TSV,RC,RC-V2,15,-,897
1,9,a,TSV,RC,DE,16,-,434
1,9,a,TSV,RC,HN,17,-,438
1,9,a,TSV,RC,ADV,18,-,1949
1,9,a,TSV,RC,quantifier,19,-,489
1,9,a,TSV,RC,Main-V1,20,-,544
1,9,a,TSV,RC,Main-V2,21,-,1645
1,9,a,TSV,RC,,?,1,3022
1,13,a,TSV,RC,comma,11,-,361
1,13,a,TSV,RC,DCL,12,-,383
1,13,a,TSV,RC,DP,13,-,363
1,13,a,TSV,RC,RC-V1,14,-,379
1,13,a,TSV,RC,RC-V2,15,-,344
1,13,a,TSV,RC,DE,16,-,365
1,13,a,TSV,RC,HN,17,-,439
1,13,a,TSV,RC,ADV,18,-,579
1,13,a,TSV,RC,quantifier,19,-,469
1,13,a,TSV,RC,Main-V1,20,-,504
1,13,a,TSV,RC,Main-V2,21,-,609
1,13,a,TSV,RC,,?,1,3544
1,17,a,TSV,RC,comma,11,-,528
1,17,a,TSV,RC,DCL,12,-,379
1,17,a,TSV,RC,DP,13,-,374
1,17,a,TSV,RC,RC-V1,14,-,479
1,17,a,TSV,RC,RC-V2,15,-,628
1,17,a,TSV,RC,DE,16,-,543
1,17,a,TSV,RC,HN,17,-,762
1,17,a,TSV,RC,ADV,18,-,703
1,17,a,TSV,RC,quantifier,19,-,519
1,17,a,TSV,RC,Main-V1,20,-,524
1,17,a,TSV,RC,Main-V2,21,-,1471
1,17,a,TSV,RC,,?,1,1767
1,21,a,TSV,RC,comma,11,-,469
1,21,a,TSV,RC,DCL,12,-,420
1,21,a,TSV,RC,DP,13,-,533
1,21,a,TSV,RC,RC-V1,14,-,533
1,21,a,TSV,RC,RC-V2,15,-,508
1,21,a,TSV,RC,DE,16,-,509
1,21,a,TSV,RC,HN,17,-,474
1,21,a,TSV,RC,ADV,18,-,530
1,21,a,TSV,RC,quantifier,19,-,633
1,21,a,TSV,RC,Main-V1,20,-,589
1,21,a,TSV,RC,Main-V2,21,-,1955
1,21,a,TSV,RC,,?,1,1860
2,4,a,TSV,RC,comma,11,-,638
2,4,a,TSV,RC,DCL,12,-,364
2,4,a,TSV,RC,DP,13,-,528
2,4,a,TSV,RC,RC-V1,14,-,503
2,4,a,TSV,RC,RC-V2,15,-,543
2,4,a,TSV,RC,DE,16,-,469
2,4,a,TSV,RC,HN,17,-,525
2,4,a,TSV,RC,ADV,18,-,418
2,4,a,TSV,RC,quantifier,19,-,414
2,4,a,TSV,RC,Main-V1,20,-,469
2,4,a,TSV,RC,Main-V2,21,-,2833
2,4,a,TSV,RC,,?,1,6726
2,8,a,TSV,RC,comma,11,-,415
2,8,a,TSV,RC,DCL,12,-,329
2,8,a,TSV,RC,DP,13,-,323
